view_count;likes;dislikes;comment_count
456432;14859;217;783
729088;56275;843;2181
68613;637;12;66
1420632;77487;1020;3294
4752088;139095;3235;6600
1024226;35432;690;1148
498289;2297;319;455
949721;26151;397;1295
1731769;214597;3526;314
2002132;148455;536;10795
2572438;255943;656;20422
4922708;70444;3952;2633
105111;5437;16;166
572239;9265;401;1027
41795827;729369;22483;23464
2423496;15565;720;1393
1728128;18484;1342;2219
179447;7586;102;897
1608691;154295;1107;6881
4249287;474214;7042;14737
5263678;124790;2912;5024
708754;51481;771;2403
1659685;35932;408;1960
729820;48876;208;375
20202851;702525;13923;4995
862177;9606;181;2047
470622;4771;88;770
229365;8991;365;1451
347149;1004;67;72
2265993;135059;1138;7941
1186499;20441;344;1348
648967;4317;969;1529
4045614;106242;2315;5717
231072;9170;217;444
78157;5371;106;1178
351482;52291;194;12371
241177;3828;157;1478
55386;1718;47;126
454456;31653;796;1601
502172;3689;251;1416
4069015;61707;2718;6095
319813;7231;271;657
1684563;62435;548;1708
1902243;36621;1179;1160
2697457;127337;1303;10143
336647;20632;410;719
1272577;11709;587;1014
1127429;36575;589;1235
179545;33493;137;383
4268335;270910;7294;9202
468200;3317;168;1189
678881;22083;356;1700
6499244;115312;3216;5218
1167544;49942;1812;287
347641;13013;110;1386
177296;2145;42;84
1094284;23691;584;753
3894061;142735;2528;7496
578533;29055;295;1269
644216;45628;681;3002
3241445;272443;617;7252
24782791;1460746;41153;3151
213989597;1399402;71298;62449
574446;8709;374;1921
117285942;2961528;39871;132057
4224904;229898;2751;10023
325433;4370;67;1155
223205;33419;89;1502
2185078;289219;1374;9414
268375;2586;188;1444
73640063;869050;14593;21731
910265;40425;356;682
967945;17248;953;4496
1893652;56822;517;3026
2228691;35404;1625;1276
917400;77644;454;7612
169293;8139;162;297
201332;3827;353;2039
424149;7010;125;104
2940190;53091;1809;5511
210178;1053;35;114
294654;30478;1215;2033
4143433;92172;2318;5827
2389481;74357;1202;2403
488114;70173;716;937
3185584;72972;1231;4909
3505209;33087;509;4970
254979;4968;64;180
2630900;70131;1294;3736
6026189;42517;17076;6295
674504;25685;338;826
1699061;57221;1675;6434
3280997;30860;493;2432
194069;4156;157;531
562212;10620;1360;2360
1578305;97843;966;4674
584515;38140;408;880
79377;243;25;8
22579319;191379;3795;9276
474585;48016;370;3620
1675694;141820;1140;3201
